hour,PL,DE,LT,SE
2012-07-18 12:00:00,0.122,0.412,0.16,0.232
2012-07-18 13:00:00,0.241,0.443,0.174,0.294
2012-07-18 14:00:00,0.391,0.402,0.188,0.357
2012-07-18 15:00:00,0.525,0.392,0.23,0.483
2012-07-18 16:00:00,0.696,0.491,0.281,0.576
2012-07-18 17:00:00,0.804,0.567,0.359,0.597
2012-07-18 18:00:00,0.824,0.601,0.482,0.611
2012-07-18 19:00:00,0.871,0.592,0.518,0.632
2012-07-18 20:00:00,0.91,0.539,0.465,0.626
2012-07-18 21:00:00,0.901,0.465,0.507,0.6
2012-07-18 22:00:00,0.882,0.365,0.514,0.581
2012-07-18 23:00:00,0.893,0.303,0.596,0.593
2012-07-19 00:00:00,0.879,0.239,0.657,0.576
2012-07-19 01:00:00,0.856,0.219,0.532,0.548
2012-07-19 02:00:00,0.808,0.193,0.54,0.529
2012-07-19 03:00:00,0.798,0.173,0.654,0.534
2012-07-19 04:00:00,0.75,0.143,0.709,0.499
2012-07-19 05:00:00,0.685,0.119,0.605,0.491
2012-07-19 06:00:00,0.669,0.099,0.51,0.47
2012-07-19 07:00:00,0.616,0.078,0.468,0.482
2012-07-19 08:00:00,0.636,0.059,0.473,0.487
2012-07-19 09:00:00,0.701,0.047,0.528,0.488
2012-07-19 10:00:00,0.74,0.056,0.539,0.481
2012-07-19 11:00:00,0.738,0.08,0.517,0.457
2012-07-19 12:00:00,0.768,0.194,0.519,0.471
2012-07-19 13:00:00,0.789,0.299,0.586,0.466
2012-07-19 14:00:00,0.815,0.387,0.641,0.467
2012-07-19 15:00:00,0.881,0.509,0.725,0.493
2012-07-19 16:00:00,0.891,0.71,0.804,0.499
2012-07-19 17:00:00,0.865,0.841,0.846,0.483
2012-07-19 18:00:00,0.781,0.843,0.855,0.432
2012-07-19 19:00:00,0.67,0.815,0.845,0.372
2012-07-19 20:00:00,0.55,0.768,0.79,0.311
2012-07-19 21:00:00,0.449,0.692,0.71,0.295
2012-07-19 22:00:00,0.391,0.651,0.558,0.246
2012-07-19 23:00:00,0.355,0.703,0.495,0.24
2012-07-20 00:00:00,0.262,0.606,0.391,0.176
2012-07-20 01:00:00,0.096,0.553,0.322,0.078
2012-07-20 02:00:00,0.031,0.555,0.22,0.072
2012-07-20 03:00:00,0.064,0.49,0.1,0.103
2012-07-20 04:00:00,0.105,0.483,0.055,0.099
2012-07-20 05:00:00,0.106,0.541,0.045,0.097
2012-07-20 06:00:00,0.12,0.574,0.09,0.095
2012-07-20 07:00:00,0.114,0.579,0.14,0.081
2012-07-20 08:00:00,0.121,0.63,0.177,0.074
2012-07-20 09:00:00,0.153,0.606,0.229,0.073
2012-07-20 10:00:00,0.203,0.532,0.2,0.087
2012-07-20 11:00:00,0.301,0.562,0.132,0.115
2012-07-20 12:00:00,0.277,0.594,0.05,0.095
2012-07-20 13:00:00,0.222,0.658,0.02,0.086
2012-07-20 14:00:00,0.152,0.734,0.029,0.076
2012-07-20 15:00:00,0.144,0.818,0.051,0.104
2012-07-20 16:00:00,0.132,0.867,0.12,0.094
2012-07-20 17:00:00,0.108,0.896,0.183,0.087
2012-07-20 18:00:00,0.221,0.917,0.196,0.144
2012-07-20 19:00:00,0.347,0.924,0.284,0.164
2012-07-20 20:00:00,0.397,0.909,0.404,0.178
2012-07-20 21:00:00,0.419,0.863,0.413,0.221
2012-07-20 22:00:00,0.586,0.797,0.353,0.305
2012-07-20 23:00:00,0.769,0.781,0.381,0.329
2012-07-21 00:00:00,0.646,0.776,0.442,0.238
2012-07-21 01:00:00,0.455,0.752,0.357,0.172
2012-07-21 02:00:00,0.323,0.736,0.287,0.154
2012-07-21 03:00:00,0.307,0.714,0.264,0.214
2012-07-21 04:00:00,0.325,0.699,0.321,0.265
2012-07-21 05:00:00,0.364,0.719,0.362,0.325
2012-07-21 06:00:00,0.449,0.72,0.389,0.363
2012-07-21 07:00:00,0.51,0.695,0.409,0.313
2012-07-21 08:00:00,0.543,0.667,0.434,0.294
2012-07-21 09:00:00,0.606,0.633,0.452,0.297
2012-07-21 10:00:00,0.59,0.586,0.368,0.27
2012-07-21 11:00:00,0.533,0.5,0.309,0.238
2012-07-21 12:00:00,0.428,0.52,0.297,0.219
2012-07-21 13:00:00,0.385,0.522,0.224,0.24
2012-07-21 14:00:00,0.471,0.525,0.258,0.342
2012-07-21 15:00:00,0.587,0.552,0.326,0.422
2012-07-21 16:00:00,0.747,0.612,0.349,0.506
2012-07-21 17:00:00,0.826,0.645,0.402,0.532
2012-07-21 18:00:00,0.878,0.627,0.428,0.541
2012-07-21 19:00:00,0.85,0.593,0.449,0.543
2012-07-21 20:00:00,0.83,0.59,0.409,0.538
2012-07-21 21:00:00,0.81,0.612,0.414,0.522
2012-07-21 22:00:00,0.787,0.637,0.521,0.505
2012-07-21 23:00:00,0.769,0.554,0.748,0.565
2012-07-22 00:00:00,0.663,0.584,0.688,0.516
2012-07-22 01:00:00,0.595,0.581,0.622,0.502
2012-07-22 02:00:00,0.541,0.605,0.584,0.53
2012-07-22 03:00:00,0.505,0.644,0.505,0.515
2012-07-22 04:00:00,0.399,0.666,0.434,0.467
2012-07-22 05:00:00,0.307,0.672,0.345,0.446
2012-07-22 06:00:00,0.324,0.662,0.31,0.459
2012-07-22 07:00:00,0.4,0.638,0.329,0.467
